Title of first edition	Author of first edition	Place of first edition	Publisher of first edition	Date of first edition	Title of original source	Author of original source	Place of original source	Publisher of original source	Date of original source	Original electronic edition
Szép leányok	Csiky Gergely	Budapest	Athenaeum	1882	Szép leányok	Csiky Gergely	Budapest	Unikornis Kiadó	1997	0
A kaviár	Csiky Gergely	Budapest	Athenaeum	1884	A kaviár	Csiky Gergely	Budapest	Athenaeum	1884	https://mek.oszk.hu/14200/14218/
Cultura	Csokonai Vitéz Mihály	Budapest	Genius Kiadó	1922	Cultura	Csokonai Vitéz Mihály	Budapest	Genius Kiadó	1922	https://mek.oszk.hu/06300/06302
A három sárkány	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	A három sárkány	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	0
Bakaruhában	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	Bakaruhában	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	0
Feketeszárú cseresznye	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	Feketeszárú cseresznye	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	0
Kártyázó asszonyok	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	Kártyázó asszonyok	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	0
Lovagias ügy	Hunyady Sándor	Budapest	Színházi élet folyóirat	1935	Lovagias ügy	Hunyadi Sándor	Budapest	Európa Könyvkiadó	2003	0
Júliusi éjszaka	Hunyady Sándor	Budapest	Színházi Élet folyóirat	1930	Júliusi éjszaka	Hunyady Sándor	Budapest	Európa Könyvkiadó	2003	0
A szigetvári vértanuk	Jókai Mór	Pest	?	1860?	A szigetvári vértanuk	Jókai Mór	Budapest	Akadémiai Kiadó	1971	https://szovegtar.iti.mta.hu/hu/muvek/dr%C3%A1m%C3%A1k-i.-1843-1860/
Dalma	Jókai Mór	Pest	?	1860?	Dalma	Jókai Mór	Budapest	Akadémiai Kiadó	1971	https://szovegtar.iti.mta.hu/hu/muvek/dr%C3%A1m%C3%A1k-i.-1843-1860/
Dózsa György	Jókai Mór	Pest	?	1860?	Dózsa György	Jókai Mór	Budapest	Akadémiai Kiadó	1971	https://szovegtar.iti.mta.hu/hu/muvek/dr%C3%A1m%C3%A1k-i.-1843-1860/
Könyves Kálmán	Jókai Mór	Pest	?	1860?	Könyves Kálmán	Jókai Mór	Budapest	Akadémiai Kiadó	1971	https://szovegtar.iti.mta.hu/hu/muvek/dr%C3%A1m%C3%A1k-i.-1843-1860/
Nőtlen férj	Kovács Pál	Pest	Magyar Királyi Egyetem nyomdája	1843	Nőtlen férj	Kovács Pál	Pest	Magyar Királyi Egyetem nyomdája	1843	http://mek.oszk.hu/
Az ember tragédiája	Madách Imre	Pest	Kisfaludy-társaság	1861	Az ember tragédiája	Madách Imre	Budapest	Argumentum Kiadó	2005	0
A civilizátor	Madách Imre	Budapest	Athenaeum	1859	A civilizátor	Madách Imre	Budapest	Madách Irodalmi Társaság	2012	https://mek.oszk.hu/00700/00767
Főúr és pór	Obernyik Károly	Buda, Pest	Egyetemi Nyomda; Eggenberger	1844	Főúr és pór	Obernyik Károly	Budapest	Szépirodalmi Kiadó	1984	https://mek.oszk.hu/05800/05869/
Csikós	Szigligeti Ede	Pest	?	1848	Csikós	Szigligeti Ede	Budapest	Szépirodalmi Kiadó	1960	https://mek.oszk.hu/05100/05183/
Fenn az ernyő, nincsen kas	Szigligeti Ede	Pest	?	1843	Fenn az ernyő, nincsen kas	Szigligeti Ede	Budapest	Szépirodalmi Kiadó	1960	https://mek.oszk.hu/05100/05183/
II. Rákóczi Ferenc fogsága	Szigligeti Ede	Budapest	Pfeiffer	1878	II. Rákóczi Ferenc fogsága	Szigligeti Ede	Budapest	Szépirodalmi Kiadó	1960	https://mek.oszk.hu/05100/05183/
Szökött katona	Szigligeti Ede	Budapest	?	1843	Szökött katona	Szigligeti Ede	Budapest	Szépirodalmi Kiadó	1960	https://mek.oszk.hu/05100/05183
